temperature,humidity,sensation,comfort,skin,clothing
0.529542921,0.964634714,1,-1,0.607399227,0.570776256
0.362318841,1.057701256,0,0,,
0.25083612,1.141461145,0,0,0.773053562,0.228310502
0.11148272,1.355514193,0,1,,
-0.418060201,1.290367613,0,1,-0.276090558,-0.380517504
-0.501672241,1.848766868,0,1,,
-0.473801561,1.932526757,0,1,,
-0.445930881,2.016286645,0,1,-0.110436223,-0.456621005
-0.585284281,1.606793858,0,0,,
-0.975473802,1.19730107,-1,-1,-1.049144119,-1.788432268
-1.337792642,0.95532806,-2,-2,,
-1.505016722,0.862261517,-2,-2,-1.546107123,-1.141552511
-1.672240803,0.685435086,-2,-2,,
-2.229654404,0.359702187,0,0,-2.319160685,-1.445966514
-2.341137124,0.704048395,0,0,-2.263942573,-1.331811263
-2.703455964,0.946021405,-1,-1,-3.036996135,-2.01674277
-2.536231884,1.057701256,-1,-1,-2.926559912,-1.293759513
-2.369007804,1.160074453,-1,-1,-2.540033131,-0.913242009
-2.229654404,1.011167985,-1,-1,-2.15350635,-1.065449011
-2.118171683,0.927408097,0,0,-1.932633904,-1.293759513
-2.090301003,0.815728246,0,0,-1.711761458,-1.141552511
-1.588628763,0.741275012,0,1,,
-1.421404682,0.629595161,0,1,,
-1.142697882,0.396928804,0,1,,
-0.975473802,0.424848767,0,0,,
-0.780379041,0.415542113,0,0,-0.993926008,-0.456621005
-0.445930881,0.173569102,0,0,-0.165654335,0.03805175
-0.30657748,-0.217310377,1,-1,0.220872446,0.684931507
0.11148272,-0.291763611,1,-1,0.552181115,0.646879756
0.25083612,-0.598883201,2,-2,,
0.418060201,-0.626803164,2,-2,,
0.585284281,-0.654723127,2,-2,0.71783545,0.799086758
